disease_name,url,기관명
Eczema,https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31626,서울아산병원
Eczema,https://my.clevelandclinic.org/health/diseases/9998-eczema,Cleveland Clinic
Eczema,https://www.medicalnewstoday.com/articles/14417,Medical News Today
"Warts, Molluscum and other Viral Infections",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32115,서울아산병원
"Warts, Molluscum and other Viral Infections",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32204,서울아산병원
Melanoma,https://www.cancer.go.kr/lay1/program/S1T211C223/cancer/view.do?cancer_seq=5237,국가암정보센터
Melanoma,http://www.snuh.org/health/nMedInfo/nView.do?category=DIS&medid=AA000033,서울대학교병원
"Atopic Dermatitis",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=30645,서울아산병원
"Atopic Dermatitis",https://www.health.kr/researchInfo/info_view.asp?idx=3280,약학정보원
"Atopic Dermatitis",https://ko.wikipedia.org/wiki/아토피_피부염,위키백과
"Basal Cell Carcinoma",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31899,서울아산병원
"Basal Cell Carcinoma",https://www.cancer.go.kr/lay1/program/S1T211C223/cancer/view.do?cancer_seq=5229,국가암정보센터
"Basal Cell Carcinoma",https://ko.wikipedia.org/wiki/기저세포암,위키백과
"Melanocytic Nevi",https://www.amc.seoul.kr/asan/healthinfo/mediscreen/mediscreenDetail.do?mediscreenId=4427,서울아산병원
"Melanocytic Nevi",https://www.ncbi.nlm.nih.gov/books/NBK470451/,NCBI
"Benign Keratosis-like Lesions",https://www.oracleclinic.com/new/pds/sub03.php?item=seborrheic_keratosis,오라클피부과
"Benign Keratosis-like Lesions",https://www.amc.seoul.kr/asan/healthinfo/mediscreen/mediscreenDetail.do?mediscreenId=3741,서울아산병원
"Psoriasis, Lichen Planus",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=30514,서울아산병원
"Psoriasis, Lichen Planus",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32273,서울아산병원
"Seborrheic Keratoses",https://synapse.koreamed.org/articles/1169727,대한피부과학회저널
"Seborrheic Keratoses",https://www.oracleclinic.com/new/pds/sub03.php?item=seborrheic_keratosis,오라클피부과
"Tinea/Ringworm/Candidiasis",http://www.snuh.org/health/nMedInfo/nView.do?category=DIS&medid=AA000735,서울대학교병원
"Tinea/Ringworm/Candidiasis",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32289,서울아산병원
Dermatofibroma,http://www.openwiki.kr/med/index.php/피부섬유종(dermatofibroma_),오픈위키
Dermatofibroma,https://www.ncbi.nlm.nih.gov/books/NBK535392/,NCBI
Dermatofibroma,https://kiss.kstudy.com/Detail/Ar?key=3874312,대한피부과학회지
"Actinic Keratosis",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31897,서울아산병원
"Actinic Keratosis",https://sev.severance.healthcare/health/encyclopedia/disease.do?mode=view&articleNo=76214,세브란스병원
"Actinic Keratosis",http://www.doctorsnews.co.kr/news/articleView.html?idxno=94520,의협신문
"Vascular Malformations",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32420,서울아산병원
Acne,http://www.snuh.org/health/nMedInfo/nView.do?category=DIS&medid=AA000018,서울대학교병원
Acne,https://my.clevelandclinic.org/health/diseases/12233-acne,Cleveland Clinic
Acne,https://www.youtube.com/watch?v=yYJ4-s8zXqA,피부텐텐
Vitiligo,https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=30491,서울아산병원
Vitiligo,https://sev.severance.healthcare/health/encyclopedia/disease.do?mode=view&articleNo=75043,세브란스병원
Vitiligo,https://www.medicalnewstoday.com/articles/245081,Medical News Today
Hyperpigmentation,https://www.msdmanuals.com/ko/홈/피부-질환/색소-장애/과다색소침착,MSD 매뉴얼
Hyperpigmentation,https://www.amc.seoul.kr/asan/healthinfo/mediscreen/mediscreenDetail.do?mediscreenId=1710,서울아산병원
Hyperpigmentation,https://www.medicalnewstoday.com/articles/323808,Medical News Today
